GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2022-03-30T14:12:22,-34.5986312,-58.3785303,59.8,58,0,28.47,2.182,0,,,,,,18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:23,-34.5984544,-58.3783672,59.8,58,0,52.83,2.182,0,,,,,,18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:24,-34.5984466,-58.3783733,59.8,59,0,53.33,2.048,0,,,,,,18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:25,-34.5984167,-58.3783417,60.0,59,0,57.62,2.149,0,,,,,,18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:26,-34.5985801,-58.3784894,60.0,59,0,57.62,2.351,0,,,,,,18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:27,-34.5986306,-58.3785312,60.0,62,47,57.62,2.250,93,,,,,,18,,,,,,,,,,,,,,,,93,177,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:28,-34.5986882,-58.3785795,60.0,66,54,57.62,1.613,168,,,,,,18,,,,,,,,,,,,,,,,261,175,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:29,-34.5987275,-58.3786039,59.8,71,60,57.62,1.948,119,,,,,,18,,,,,,,,,,,,,,,,380,177,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:30,-34.5987466,-58.3786176,59.8,74,61,57.62,1.580,64,,,,,,18,,,,,,,,,,,,,,,,444,182,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:31,-34.5987643,-58.3786253,59.8,78,64,57.62,1.613,87,,,,,,18,,,,,,,,,,,,,,,,531,181,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:32,-34.5987696,-58.3786323,60.0,80,68,57.62,0.000,108,,,,,,18,,,,,,,,,,,,,,,,639,179,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:33,-34.5987693,-58.3786297,60.0,83,71,57.77,0.000,112,,,,,,18,,,,,,,,,,,,,,,,751,173,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2800,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:37,-34.5986806,-58.3785880,59.8,86,76,57.77,9.068,65535,,,,,,18,,,,,,,,,,,,,,,,751,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-30T14:12:38,-34.5986675,-58.3785977,59.8,85,76,58.68,10.984,61,,,,,,18,,,,,,,,,,,,,,,,751,184,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,2799,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
