GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2022-03-23T14:18:15,-34.5942372,-58.3774279,106.6,92,51,1.07,3.830,51,,,,,,20,,,,,,,,,,,,,,,,51,163,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:16,-34.5942396,-58.3774190,106.6,89,51,1.93,3.492,70,,,,,,20,,,,,,,,,,,,,,,,121,168,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:17,-34.5942521,-58.3773885,106.6,88,58,5.04,10.750,107,,,,,,20,,,,,,,,,,,,,,,,228,169,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:18,-34.5942685,-58.3773518,106.6,87,60,8.86,12.326,123,,,,,,20,,,,,,,,,,,,,,,,351,171,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:19,-34.5942685,-58.3773518,106.6,87,62,8.86,12.326,111,,,,,,20,,,,,,,,,,,,,,,,462,172,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:20,-34.5942873,-58.3773127,106.4,89,63,13.01,13.806,110,,,,,,20,,,,,,,,,,,,,,,,572,173,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3032,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:21,-34.5943696,-58.3771637,106.6,89,64,29.44,6.818,84,,,,,,20,,,,,,,,,,,,,,,,656,172,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:22,-34.5943702,-58.3771539,106.6,91,65,30.12,6.988,82,,,,,,20,,,,,,,,,,,,,,,,738,176,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:23,-34.5943678,-58.3771274,106.8,91,67,32.34,9.137,64,,,,,,20,,,,,,,,,,,,,,,,802,181,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3034,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:24,-34.5943636,-58.3771055,106.6,91,66,34.31,9.508,67,,,,,,20,,,,,,,,,,,,,,,,869,183,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3033,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:25,-34.5943596,-58.3770905,106.8,90,67,35.73,10.346,74,,,,,,20,,,,,,,,,,,,,,,,943,182,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3034,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:26,-34.5943567,-58.3770726,106.8,89,66,37.35,10.012,78,,,,,,20,,,,,,,,,,,,,,,,1021,182,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3034,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:27,-34.5943545,-58.3770524,107.0,87,64,39.21,10.883,79,,,,,,20,,,,,,,,,,,,,,,,1100,182,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3035,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:28,-34.5943572,-58.3770300,107.0,87,71,41.24,10.379,89,,,,,,20,,,,,,,,,,,,,,,,1189,179,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3035,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-23T14:18:29,-34.5943550,-58.3769911,107.0,87,72,44.80,15.419,52,,,,,,20,,,,,,,,,,,,,,,,1241,178,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3035,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
